bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-0031121_ses-SSV10_task-FLANKERTASK_bold	0.0004016190476190476	0.007967124452380953	0	47.14015717620531	1.0467754174463006	1.0060205614797126	0.6203264162623255	175.9738006591797	0.09493246494137396	1	0.23809523809523808	2.6831541749766	2.463950845710678	2.802933958082573	2.7825777211365477	0.108241	-0.015423350967466831	0.07987375557422638	420	78	78	54	2.6739282151237553	1.4500000476837158	2.461538553237915	2.461538553237915	2.4999732971191406	48.60246007974248	5.910994529724121	52.33017349243164	30.371896743774414	175934.0	25.031638526916502	169.75262603759768	64.30387115478516	1.6039526679797564	141.9872589111328	460.14239501953125	430.0212097167969	93539.0	255.08560180664062	758.4784240722655	160.8191680908203	27.767948150634766
sub-0031121_ses-SSV10_task-INSCAPES2p5MM_bold	0.00030833333333333337	0.007895598214285714	0	47.275131826372274	1.0431360350835313	0.998994971575179	0.6197894978366001	176.25961303710938	0.09206496617959521	5	1.1904761904761905	2.693220549726336	2.477279907714132	2.8022758331070903	2.8001059083577857	0.101348	-0.016827579587697983	0.08116038888692856	420	78	78	54	2.673241499710908	1.4500000476837158	2.461538553237915	2.461538553237915	2.4999732971191406	51.55804586478232	5.992365837097168	53.003456115722656	30.39524269104004	176120.0	24.995469188690183	171.57197952270482	67.66464233398438	1.6366838460176591	142.0425567626953	460.9219055175781	430.8029479980469	93423.0	255.73308258056642	759.6027709960938	161.1529083251953	27.841548919677734
sub-0031121_ses-SSV10_task-MOVIE2p5MM_bold	0.0002978095238095238	0.008465302928571429	0	46.923784187637196	1.036118415322197	0.9933422849403348	0.6214276824962549	172.48590087890625	0.10009867233596087	18	4.285714285714286	2.683641502614224	2.4679280330625164	2.784514583768748	2.7984818910114093	0.0288289	-0.015334630385041237	0.08068911731243134	420	78	78	54	2.6791483272957906	1.4500000476837158	2.461538553237915	2.461538553237915	2.4999732971191406	46.99641966129076	5.883834362030029	53.06929397583008	30.489913940429688	176469.0	25.178861999511717	172.47570190429687	65.62275695800781	1.8125861702523238	139.80325317382812	455.6837158203125	426.39404296875	93158.0	253.64786148071292	749.5261474609375	159.1519775390625	29.355072021484375
sub-0031121_ses-SSV10_task-RESTINGSTATE2p5MM_bold	0.00036078571428571426	0.00692461480952381	0	47.27464791527446	1.0613456468257751	1.1552824569451077	0.6196009795135031	176.9852294921875	0.08604215842263471	6	1.4285714285714286	2.6840449974365437	2.4691914705154496	2.791737708499666	2.7912058132945146	0.085867	-0.016851548105478287	0.08112109452486038	420	78	78	54	2.675746135601259	1.4500000476837158	2.461538553237915	2.461538553237915	2.4999732971191406	52.96822811660506	5.656910419464111	52.96873092651367	30.30055809020996	176350.0	25.161078739166257	171.7149131774902	67.5544662475586	1.7506787410376443	141.54409790039062	460.29754638671875	430.3919677734375	93190.0	256.1919174194336	757.3836639404298	160.8484649658203	29.33326530456543
sub-0031121_ses-SSV11_task-FLANKERTASK_bold	0.00035185714285714285	0.007635148904761904	0	49.20200826763722	1.0536826478042955	0.9888892890930795	0.6250448736291464	157.78829956054688	0.08931423337723118	4	0.9523809523809523	2.6940256983342508	2.4843242824517087	2.7910308335259995	2.8067219790250446	0.0515214	-0.015104856342077255	0.07726895064115524	420	78	78	54	2.668361749845348	1.4500000476837158	2.461538553237915	2.461538553237915	2.4999732971191406	43.88161218019133	6.117801189422607	54.32823181152344	31.23331642150879	177223.0	25.582413482666016	176.13641815185537	65.4032211303711	1.713890380968226	138.94703674316406	448.77569580078125	419.1475524902344	92686.0	249.9839210510254	739.0444641113281	157.0796356201172	28.43108367919922
sub-0031121_ses-SSV11_task-INSCAPES2p5MM_bold	0.0004180714285714286	0.009847211404761904	0	47.5232655383532	1.0468769151073984	0.9892448068973744	0.6207685054782114	177.06849670410156	0.09928742547630236	11	2.619047619047619	2.705113089248884	2.4886305322912885	2.8037545830520028	2.8229541524033612	0.0786922	-0.01744707301259041	0.0800994336605072	420	78	78	54	2.6630891104912573	1.4500000476837158	2.461538553237915	2.461538553237915	2.4999732971191406	45.142405386614115	6.4377121925354	53.166282653808594	29.957534790039062	176397.0	24.17164649963379	173.68421325683568	66.95161437988281	1.514640500765016	141.4655303955078	456.6713562011719	426.19146728515625	93257.0	253.2823028564453	752.7393798828124	160.03564453125	27.39874267578125
sub-0031121_ses-SSV11_task-MOVIE2p5MM_bold	0.00036545238095238097	0.007894390142857142	0	48.43786525510739	1.0511852696181379	1.1007605442243433	0.6226477870327555	166.69241333007812	0.0902227530971733	9	2.142857142857143	2.685354162575076	2.472287095400129	2.7813214588877013	2.8024539334373992	0.0557694	-0.017419932410120964	0.08097248524427414	420	78	78	54	2.6658601905531354	1.4500000476837158	2.461538553237915	2.461538553237915	2.4999732971191406	46.723134165659495	5.806145191192627	54.04922103881836	30.387208938598633	177261.0	25.03665542602539	176.09408569335938	68.01573944091797	1.7291184930569745	139.62686157226562	449.2658996582031	419.4775390625	92564.0	250.17010040283202	740.1773925781243	157.35081481933594	29.079700469970703
sub-0031121_ses-SSV11_task-RESTINGSTATE2p5MM_bold	0.00042850000000000006	0.008241833928571429	0	47.016456485465376	1.0487395537947493	0.9930763762768494	0.6199980013821385	178.21206665039062	0.09478719795833544	13	3.0952380952380953	2.702757193260362	2.489024594776608	2.7963608333274412	2.8228861516770354	0.0828374	-0.017498526722192764	0.08053915947675705	420	78	78	54	2.656742107258079	1.4500000476837158	2.461538553237915	2.461538553237915	2.4999732971191406	48.83999948475634	6.138363838195801	53.378726959228516	29.787372589111328	176958.0	24.301232910156248	175.41743392944335	68.396240234375	1.600784837278849	141.22256469726562	454.9854736328125	424.48956298828125	92887.0	252.75438232421877	750.3793151855468	159.77737426757812	27.835250854492188
sub-0031121_ses-SSV12_task-FLANKERTASK_bold	0.0005082380952380953	0.007942035642857143	0	47.97730174088302	1.0544152536276847	0.9875464136754172	0.6140393201273658	191.62307739257812	0.11896988265774898	17	4.0476190476190474	2.768242519577523	2.5473824051026104	2.865102393266618	2.8922427603633407	0.034161	-0.02063119411468506	0.0732196718454361	420	78	78	54	2.5786401644987738	1.4500000476837158	2.461538553237915	2.461538553237915	2.500011444091797	55.63375289016181	6.395481109619141	54.649925231933594	30.85311508178711	175999.0	24.931058883666992	178.59312438964852	70.67101287841797	2.0866293179734203	153.739990234375	489.2878723144531	456.137939453125	93482.0	267.5976226806641	816.6000915527343	176.8899383544922	28.855344772338867
sub-0031121_ses-SSV12_task-INSCAPES2p5MM_bold	0.0008229285714285716	0.007796003547619048	0	47.56213050248212	1.062170335322196	1.708058223651552	0.613720696664885	193.8817901611328	0.09703132671145678	16	3.8095238095238093	2.7510367785827152	2.532172405669227	2.847987081404214	2.8729508486747037	0.0473821	-0.021370312198996544	0.07459600269794464	420	78	78	54	2.5980852394009566	1.4500000476837158	2.461538553237915	2.461538553237915	2.500011444091797	59.15626137345896	6.094415187835693	54.473690032958984	30.76028823852539	175949.0	25.268101119995116	177.1918487548828	71.56301879882812	1.9985324360578653	154.1172637939453	491.240478515625	458.4355773925781	93416.0	269.89866638183594	818.2042083740234	176.45037841796875	28.65683364868164
